instance	true	probability
42103756856	0	-1.42
42125770876	0	-1.26
42125557363	0	-1.34
42117186294	1	-0.58
42111059176	0	-1.34
42102630003	0	-1.38
42129373465	0	-1.32
42123299816	0	-1.8
42094063483	1	0.28
42115268768	0	-1.7
42087576431	0	-1.32
42115309387	0	-1.56
42094177401	0	-1.56
42127040935	0	-1.5
42098263986	1	-1.64
42112011566	1	-1.32
42098213540	1	-1.26
42130433422	0	-1.86
42113485810	0	-1.34
42102719297	0	-1.28
42127044879	0	-2.22
42091616285	0	-1.44
42121005738	0	-1.3
42127319947	0	-1.5
42089867006	0	-1.56
42134479299	0	-1.8
42118057253	0	-1.56
42128769238	0	-1.62
42111156814	0	-1.4
42106025853	0	-0.92
42093050336	0	-1.58
42118301312	0	-1.88
42130059340	0	-1.44
42095239499	0	-1.02
42101983004	0	-1.02
42100841845	1	-0.22
42123369632	0	-1.46
42111490233	0	-0.78
42131162110	0	-1.3
42122727680	0	-1.38
42108444431	1	-0.48
42130316112	0	-1.44
42123851203	0	-1.54
42122057891	0	-1.36
42099133983	0	-1.52
42132343142	0	-1.54
42132341553	0	-0.86
42118439082	0	-1.3
42111246675	0	-1.22
42124842229	0	0.04
42110555245	0	-1.32
42106169814	0	-1.3
42130366729	0	-1.38
42103007750	0	-1.36
42092217295	0	-1.58
42119646588	0	-1.04
42128873357	0	-1.46
42115774615	1	-0.94
42117537638	1	-1.66
42130794604	0	-2.2
42128277103	0	-1.4
42090939892	0	-1.2
42118599759	0	-1.58
42122506983	0	-1.4
42129663709	0	-1.56
42116010703	0	-1.76
42131631634	0	-1.56
42132801002	0	-1.6
42121350379	0	-2.16
42114815437	0	-1.08
42091351877	0	-1.74
42134315724	0	-1.52
42130470489	0	-1.46
42092084536	0	-1.38
42087086985	0	-1.12
42100858250	0	-1.12
42107814393	0	-1.14
42098484712	0	-1.74
42134220926	0	-1.08
42094680247	0	-1.36
42089229547	0	-2.08
42106063819	0	-1.34
42113721239	0	-1.42
42110216296	0	-1.1
42113055655	0	-1.32
42097772302	0	-1.32
42090869347	0	-1.38
42122769767	0	-1.44
42092934410	0	-1.42
42099274078	0	-1.44
42096760636	0	-1.5
42109108485	0	-1.36
42128393488	0	-2.18
42111962841	0	-1.86
42090703875	0	-1.48
42104092062	0	-1.72
42094372970	0	-1.86
42119458613	0	-1.2
42108360680	0	-1.88
42106081962	0	-1.86
42127322094	0	-1.48
42127087430	0	-1.9
42114654578	1	-1.5
42114685872	1	-1.5
42094890470	0	-1.36
42095112122	0	-1.2
42088566737	0	-0.9
42134435325	0	-1.64
42121618966	0	-1.38
42091205875	0	-1.26
42114895108	0	-1.32
42101016950	0	-1.3
42109584867	0	-2.0
42087834524	0	-1.86
42131106358	0	-1.84
42111838860	0	-1.48
42121183999	0	-1.52
42130973793	0	-1.66
42120604305	0	-1.34
42102945806	0	-1.44
42091750389	0	-1.64
42132432538	0	-1.64
42114949945	0	-1.46
42109398098	0	-1.1
42131420579	0	-1.4
42122190960	0	-1.42
42133736511	0	-1.52
42100658760	0	-1.24
42115008496	0	-1.56
42096208068	0	-1.48
42112640718	0	-1.82
42088013690	0	-1.36
42087680322	0	-1.46
42132604698	0	-1.26
42106617424	0	-1.48
42106746251	0	-1.68
42105570735	0	-1.34
42128084598	0	-1.56
42100559098	0	-1.26
42096620485	0	-1.26
42109990839	0	-1.7
42111833088	0	-1.5
42133788661	0	-1.82
42129133815	0	-1.62
42090994544	0	-1.48
42107547362	0	-1.46
42118506165	0	-1.44
42127621542	0	-1.06
42112737316	0	-1.32
42128969041	0	-1.34
42128067956	0	-1.24
42089354931	0	-2.2
42119615564	0	-1.72
42123233720	0	-1.34
42090187300	0	-1.56
42119717014	0	-1.64
42111552006	0	-1.16
42133620256	0	-1.5
42133026899	0	-1.92
42130186379	0	-1.44
42129039292	0	-1.52
42130950353	0	-1.64
42097946815	0	-1.46
42106251734	0	-1.14
42098226218	0	-1.32
42115639397	0	-2.32
42094352403	0	-1.38
42093623709	0	-1.86
42098408239	0	-1.32
42099054323	0	-1.48
42114753904	0	-1.66
42123082329	0	-1.52
42098338315	0	-1.86
42110455219	0	-1.66
42088256555	0	-1.22
42114623715	0	-1.2
42101071946	0	-1.2
42108106305	0	-1.44
42115002038	0	-1.0
42088046577	0	-1.58
