R	P	FP	R_stdev	P_stdev	FP_stdev	ClassifierOutput
0.00704225352112676	1	0	0	0	0	74.4564638364189
0.0140845070422535	1	0	0	0	0	69.6294308947714
0.0211267605633803	1	0	0	0	0	66.7118084970542
0.028169014084507	1	0	0	0	0	64.3726519736727
0.0352112676056338	1	0	0	0	0	62.6660392296902
0.0422535211267606	1	0	0	0	0	62.0065504156662
0.0492957746478873	1	0	0	0	0	57.9643789429987
0.0563380281690141	1	0	0	0	0	56.9218344149634
0.0619718309859155	0.977777777777778	8.86132033673017E-05	0.00281690140845079	0.0444444444444421	0.000177226406734603	54.7100148401708
0.0690140845070422	0.98	8.86132033673017E-05	0.00281690140845091	0.04	0.000177226406734603	53.4938276839017
0.076056338028169	0.981818181818182	8.86132033673017E-05	0.00281690140845067	0.0363636363636358	0.000177226406734603	51.721482255972
0.0830985915492958	0.983333333333333	8.86132033673017E-05	0.00281690140845042	0.0333333333333306	0.000177226406734603	50.437803232636
0.0901408450704225	0.984615384615385	8.86132033673017E-05	0.00281690140845091	0.0307692307692274	0.000177226406734603	49.7493201729732
0.0971830985915493	0.985714285714286	8.86132033673017E-05	0.00281690140845091	0.0285714285714272	0.000177226406734603	49.1254197743007
0.104225352112676	0.986666666666667	8.86132033673017E-05	0.00281690140845042	0.0266666666666641	0.000177226406734603	48.4889729822682
0.111267605633803	0.9875	8.86132033673017E-05	0.00281690140845042	0.0249999999999993	0.000177226406734603	47.7440841344056
0.11830985915493	0.988235294117647	8.86132033673017E-05	0.00281690140845116	0.0235294117647061	0.000177226406734603	47.340904441248
0.125352112676056	0.988888888888889	8.86132033673017E-05	0.00281690140845067	0.0222222222222191	0.000177226406734603	46.3030931650075
0.130985915492958	0.978947368421053	0.00017718716262328	0.0034499855532159	0.0257841025556161	0.000217009077570465	45.9709513240867
0.138028169014084	0.98	0.00017718716262328	0.0034499855532159	0.0244948974278286	0.000217009077570465	45.5494126382644
0.145070422535211	0.980952380952381	0.00017718716262328	0.0034499855532155	0.0233284737407872	0.000217009077570465	44.1529852223309
0.152112676056338	0.981818181818182	0.00017718716262328	0.0034499855532159	0.0222680885707558	0.000217009077570465	43.5004568100418
0.159154929577465	0.982608695652174	0.00017718716262328	0.0034499855532151	0.0212999108068133	0.000217009077570465	42.8943655183686
0.164788732394366	0.975	0.000265761121879259	0.00563380281690084	0.0333333333333333	0.000354315467229624	42.4533965779332
0.171830985915493	0.976	0.000265761121879259	0.00563380281690183	0.0319999999999993	0.000354315467229624	42.1952095784736
0.177464788732394	0.969230769230769	0.000354374325246561	0.00526993998137234	0.0287819798982568	0.0003314343990623	41.4032584464466
0.184507042253521	0.97037037037037	0.000354374325246561	0.00526993998137287	0.0277159806427689	0.0003314343990623	41.1136869866066
0.190140845070423	0.964285714285714	0.000442987528613863	0.00629878303521037	0.0319438282499934	0.000396202561745311	40.7959362565215
0.197183098591549	0.96551724137931	0.000442987528613863	0.00629878303521037	0.0308423169310321	0.000396202561745311	40.1635842040493
0.202816901408451	0.96	0.000531600731981164	0.006899971106431	0.0326598632371072	0.000434050203736016	39.2973954612981
0.208450704225352	0.954838709677419	0.000620174691237143	0.00845070422535184	0.038709677419355	0.000531522272733792	38.9029527622796
0.215492957746479	0.95625	0.000620174691237143	0.0084507042253525	0.0374999999999972	0.000531522272733792	38.6837240816099
0.222535211267606	0.957575757575758	0.000620174691237143	0.0084507042253525	0.0363636363636358	0.000531522272733792	37.9782690611689
0.229577464788732	0.958823529411765	0.000620174691237143	0.00845070422535184	0.0352941176470635	0.000531522272733792	37.3752753792137
0.236619718309859	0.96	0.000620174691237143	0.0084507042253525	0.034285714285716	0.000531522272733792	35.9787510584457
0.243661971830986	0.961111111111111	0.000620174691237143	0.00845070422535184	0.0333333333333359	0.000531522272733792	35.6242145739011
0.250704225352113	0.962162162162162	0.000620174691237143	0.00845070422535184	0.0324324324324352	0.000531522272733792	34.8282096394371
0.256338028169014	0.957894736842105	0.000708787894604445	0.00955257744102174	0.0356964735953973	0.000600882509148626	34.2698882975276
0.263380281690141	0.958974358974359	0.000708787894604445	0.00955257744102058	0.034781179400639	0.000600882509148626	33.3988333668411
0.270422535211268	0.96	0.000708787894604445	0.00955257744102291	0.0339116499156261	0.000600882509148626	33.0029269885168
0.277464788732394	0.960975609756098	0.000708787894604445	0.00955257744102058	0.0330845365030527	0.000600882509148626	32.601505545001
0.283098591549296	0.957142857142857	0.000797283469825684	0.00821260830259916	0.0277664375945028	0.000516658951582142	32.1765215074914
0.290140845070423	0.958139534883721	0.000797283469825684	0.00821260830259849	0.0271207064876538	0.000516658951582142	31.6713556616374
0.297183098591549	0.959090909090909	0.000797283469825684	0.00821260830259849	0.0265043267947451	0.000516658951582142	31.4110720548808
0.302816901408451	0.955555555555555	0.000885896673192986	0.00890782439484132	0.028109134757059	0.000560439098572013	30.873874472394
0.309859154929578	0.956521739130435	0.000885896673192986	0.00890782439483945	0.0274980666101616	0.000560439098572013	30.6337861826947
0.316901408450704	0.957446808510638	0.000885896673192986	0.00890782439484008	0.0269130013631388	0.000560439098572013	30.1842449343918
0.323943661971831	0.958333333333333	0.000885896673192986	0.00890782439484008	0.0263523138347369	0.000560439098572013	29.3489837098233
0.330985915492958	0.959183673469388	0.000885896673192986	0.00890782439484132	0.0258145115115756	0.000560439098572013	28.9812554888135
0.336619718309859	0.956	0.000974509876560287	0.00689997110643019	0.0195959179422707	0.000434162294913016	28.4361854714581
0.342253521126761	0.952941176470588	0.00106312307992759	0.0084507042253525	0.0235294117647061	0.000531757659228786	27.8679325159535
0.349295774647887	0.953846153846154	0.00106312307992759	0.00845070422535381	0.0230769230769251	0.000531757659228786	27.5223622666378
0.356338028169014	0.954716981132075	0.00106312307992759	0.00845070422535381	0.0226415094339637	0.000531757659228786	26.6522042154474
0.361971830985916	0.951851851851852	0.00115173628329489	0.0105398799627436	0.0277159806427657	0.000663214834319119	26.494046057201
0.369014084507042	0.952727272727273	0.00115173628329489	0.0105398799627436	0.0272120537219889	0.000663214834319119	26.1069323991356
0.374647887323944	0.95	0.00124034948666219	0.0129086639294528	0.0327326835353968	0.000812256131562892	25.833851242631
0.380281690140845	0.947368421052632	0.00132884506188343	0.0117839440356916	0.0293564921590917	0.000741531979309569	25.3434124663632
0.387323943661972	0.948275862068966	0.00132884506188343	0.0117839440356906	0.0288503457425556	0.000741531979309569	24.8465752396294
0.394366197183099	0.949152542372881	0.00132884506188343	0.0117839440356916	0.028361356831659	0.000741531979309569	24.2594448145083
0.4	0.946666666666667	0.00141745826525073	0.0121159510803406	0.0286744175568067	0.00076245749684074	23.7901353818981
0.407042253521127	0.947540983606557	0.00141745826525073	0.0121159510803406	0.028204345137845	0.00076245749684074	23.4936549222094
0.412676056338028	0.945161290322581	0.00150603222450671	0.0122785885733549	0.0281219286680087	0.000772647025493156	23.1230465467201
0.416901408450704	0.93968253968254	0.00168314100309525	0.0093426050432523	0.0210579351768627	0.000587983009077844	22.1075601857568
0.423943661971831	0.940625	0.00168314100309525	0.00934260504325705	0.0207289049397204	0.000587983009077844	21.5076170089596
0.426760563380282	0.932307692307692	0.00194882374093977	0.00955257744102174	0.020868707640386	0.000601056648173303	21.105897741307
0.432394366197183	0.93030303030303	0.00203743694430707	0.0105398799627447	0.0226767114349945	0.000663257306889475	20.7430660382839
0.438028169014084	0.928358208955224	0.00212605014767437	0.00821260830259916	0.0174058265517796	0.000516989189460246	19.9633922284598
0.445070422535211	0.929411764705882	0.00212605014767437	0.00821260830260187	0.0171498585142483	0.000516989189460246	19.5093657025237
0.452112676056338	0.930434782608696	0.00212605014767437	0.00821260830260187	0.0169013098401257	0.000516989189460246	18.9316910391852
0.457746478873239	0.928571428571429	0.00221454572289561	0.00771440221838801	0.0156492159287177	0.000485355850039889	18.4756730223534
0.464788732394366	0.929577464788732	0.00221454572289561	0.00771440221838225	0.0154288044367645	0.000485355850039889	18.0951486760961
0.471830985915493	0.930555555555556	0.00221454572289561	0.00771440221837937	0.0152145154862548	0.000485355850039889	17.9188829871589
0.477464788732394	0.928767123287671	0.00230315892626292	0.00934260504325705	0.0181732865225028	0.000587912840525375	17.4925114504026
0.484507042253521	0.92972972972973	0.00230315892626292	0.00934260504325467	0.0179277015694831	0.000587912840525375	17.0748594055876
0.491549295774648	0.930666666666667	0.00230315892626292	0.0093426050432523	0.0176886655485699	0.000587912840525375	16.8619507834988
0.497183098591549	0.928947368421053	0.00239177212963022	0.0114423076121624	0.0213790484332579	0.000720091045236229	16.3980571779141
0.504225352112676	0.92987012987013	0.00239177212963022	0.0114423076121643	0.0211013984536058	0.000720091045236229	15.8762386838314
0.508450704225352	0.925641025641026	0.00256899853636482	0.0103499566596515	0.0188422287906478	0.00065159921329154	15.5644451552276
0.512676056338028	0.921518987341772	0.0027461856989881	0.0121159510803415	0.0217780386507434	0.000762717935688956	15.0978883355116
0.519718309859155	0.9225	0.0027461856989881	0.0121159510803415	0.0215058131676083	0.000762717935688956	14.4992899864351
0.525352112676056	0.920987654320988	0.0028347989023554	0.0105398799627384	0.0184773204285131	0.000663734297327366	13.9740820424701
