instance	true	assigned	probability
47455016907	1	1	-1.48
47456215781	1	1	-1.9
47458297063	1	1	-0.66
47458307539	1	1	-0.92
47458403098	1	1	-1.52
47458536005	1	1	-0.9
47460071533	1	1	-0.88
47460144192	1	1	-0.74
47460594661	1	1	-0.62
47461772185	1	1	-0.54
47462169023	1	1	-1.48
47465196245	1	1	-0.34
47466047957	1	1	-0.18
47466242310	1	1	-0.88
47467021299	1	1	-0.48
47467799996	1	1	-1.36
47470254777	1	1	-1.36
47470265102	1	1	-1.52
47474978571	1	1	-1.04
47272765523	1	1	-2.14
47273031673	1	1	-1.48
47273554270	1	1	-1.22
47275712939	1	1	-0.82
47275896398	1	1	-1.4
47276167851	1	1	-0.88
47278140603	1	1	-1.26
47278372374	1	1	-0.64
47281017323	1	1	-1.64
47281615983	1	1	-0.98
47281652092	1	1	-0.94
47285751669	1	1	-0.86
47286253445	1	1	-1.66
47286913284	1	1	-1.36
47289843926	1	1	-1.08
47290883643	1	1	-1.1
47291106052	1	1	-0.38
47292056347	1	1	-1.16
47292257873	1	1	-1.2
47292602759	1	1	-1.0
47292822764	1	1	-1.04
47292979033	1	1	-1.42
47294332075	1	1	-1.04
47294973839	1	1	-1.58
47297137203	1	1	-1.78
47297267436	1	1	-1.06
47297316891	1	1	-1.04
47301111078	1	1	-1.48
47301710832	1	1	-1.48
47302122576	1	1	-1.56
47302860137	1	1	-0.2
47304946113	1	1	-1.66
47306669111	1	1	-0.6
47307794556	1	1	1.02
47312255914	1	1	-0.18
47312352502	1	1	-0.82
47313086291	1	1	-0.22
47313285145	1	1	-0.96
47313442247	1	1	-1.04
47313475489	1	1	-1.4
47313669418	1	1	-0.58
47314663639	1	1	-0.64
47314998060	1	1	-0.4
47315249158	1	1	-1.48
47316067986	1	1	-0.64
47317623326	1	1	-0.94
47317759754	1	1	-0.74
47223590832	1	1	-1.78
47224235518	1	1	-1.02
47224978057	1	1	-1.44
47226411927	1	1	-1.42
47227209838	1	1	-1.76
47227291548	1	1	-0.38
47227597884	1	1	-1.36
47230132048	1	1	-0.98
47231481659	1	1	-1.18
47232957871	1	1	-0.98
47233541179	1	1	-1.2
47235972229	1	1	-1.24
47236231054	1	1	-1.48
47236814529	1	1	-1.26
47237431137	1	1	-1.04
47237974164	1	1	-1.6
47238051888	1	1	-1.82
47240075108	1	1	-1.1
47241661005	1	1	-1.74
47241696475	1	1	-1.82
47241698111	1	1	-1.94
47242471963	1	1	-1.82
47242513694	1	1	-1.56
47243651907	1	1	-0.78
47244248128	1	1	-0.82
47244534282	1	1	-0.9
47244546076	1	1	-0.32
47244588637	1	1	-1.26
47245190610	1	1	-0.78
47246644685	1	1	-0.28
47247790643	1	1	-0.82
47248260822	1	1	0.8
47248333911	1	1	-0.76
47248334821	1	1	0.02
47248982589	1	1	-0.76
47250309685	1	1	-1.7
47250381274	1	1	-1.04
47251615223	1	1	-0.98
47253889039	1	1	-0.92
47254354936	1	1	-1.14
47255455956	1	1	-1.3
47255503169	1	1	-1.22
47256997120	1	1	-1.42
47257269965	1	1	0.44
47257470481	1	1	-1.06
47259744553	1	1	0.28
47259780077	1	1	-0.56
47261321652	1	1	-1.44
47264213963	1	1	-0.54
47264424924	1	1	-0.9
47265395755	1	1	-0.6
47265608438	1	1	-1.58
47266649737	1	1	-1.74
47266757495	1	1	-1.12
47266999085	1	1	-1.76
47268181214	1	1	-0.7
47268655227	1	1	-1.44
47271151562	1	1	-0.76
47175222556	1	1	-1.48
47175522800	1	1	-1.16
47176248817	1	1	-1.34
47176629773	1	1	-0.14
47176637087	1	1	-2.36
47176734520	1	1	-1.36
47176942971	1	1	-1.72
47177741873	1	1	-1.42
47178184295	1	1	-1.24
47178296023	1	1	-1.22
47178455039	1	1	-1.08
47178605156	1	1	-0.58
