instance	true	assigned	probability
47477010190	1	1	0.086
47479707782	1	1	0.017
47479858916	1	1	0.374
47481375726	1	1	0.00627843
47482903042	1	1	0.09
47487817085	1	1	0.113
47487880557	1	1	0.47100000000000003
47488091936	1	1	0.31
47489611590	1	1	0.012
47491145285	1	1	0.19699999999999998
47491730728	1	1	0.24100000000000002
47492426419	1	1	0.583
47492488000	1	1	0.11
47492652539	1	1	0.42700000000000005
47494880398	1	1	0.5
47495098742	1	1	0.5589999999999999
47495106383	1	1	0.028999999999999998
47495759516	1	1	0.006
47497152932	1	1	0.746
47497654579	1	1	0.034
47497849947	1	1	0.31
47498182859	1	1	0.42700000000000005
47498188485	1	1	0.019
47498494168	1	1	0.905
47500637719	1	1	0.059000000000000004
47502324706	1	1	0.6970000000000001
47502438260	1	1	0.426
47502441794	1	1	0.09699999999999999
47502443214	1	1	0.5
47505622389	1	1	0.932
47506807511	1	1	0.41100000000000003
47507659381	1	1	0.308
47508009690	1	1	0.013999999999999999
47509236860	1	1	0.397
47511229974	1	1	0.175
47514073683	1	1	0.10099999999999999
47514953624	1	1	0.087
47516747115	1	1	0.172
47519095892	1	1	0.41
47522025643	1	1	0.6920000000000001
47522767599	1	1	0.72
47424004590	1	1	0.620173
47424419518	1	1	0.350539
47424689928	1	1	0.049444300000000004
47425109841	1	1	0.766279
47425329620	1	1	0.638641
47425400275	1	1	0.568736
47427927746	1	1	0.12397000000000001
47428323540	1	1	0.10688099999999999
47428496524	1	1	0.038526300000000006
47428504686	1	1	0.0656086
47428979432	1	1	0.094182
47430569271	1	1	0.043666
47432130405	1	1	0.5
47432880994	1	1	0.0120855
47432974312	1	1	0.020591400000000003
47432987583	1	1	0.0076946
47432992604	1	1	0.000111975
47433082592	1	1	0.0879771
47433134992	1	1	0.000111975
47433192459	1	1	0.025287599999999997
47433290715	1	1	0.1
47433521270	1	1	0.0604538
47433979829	1	1	0.119595
47434266184	1	1	0.08066110000000001
47436020859	1	1	0.25296599999999997
47436182658	1	1	0.015262000000000001
47439363870	1	1	0.013000000000000001
47443507489	1	1	0.0910342
47445593439	1	1	0.001
47446406611	1	1	0.837827
47446452809	1	1	0.012
47446549191	1	1	0.175
47446650129	1	1	0.135274
47447245794	1	1	0.021
47447281193	1	1	0.45399999999999996
47447894344	1	1	0.064
47448448339	1	1	0.018000000000000002
47450251030	1	1	0.038
47451287585	1	1	0.26
47451707708	1	1	0.081
47452257287	1	1	0.033
47452754360	1	1	0.642
47452944534	1	1	0.252
47453035111	1	1	0.384
47453286335	1	1	0.439
47453371741	1	1	0.616
47453409062	1	1	0.079
47454382600	1	1	0.292
47455016907	1	1	0.191
47456215781	1	1	0.976
47458297063	1	1	0.037000000000000005
47458307539	1	1	0.004
47458403098	1	1	0.159
47458536005	1	1	0.927
47460071533	1	1	0.759
47460144192	1	1	0.38299999999999995
47460594661	1	1	0.885
47461772185	1	1	0.847
47462169023	1	1	0.006999999999999999
47465196245	1	1	0.9440000000000001
47466047957	1	1	0.114
47466242310	1	1	0.039
47467021299	1	1	0.27399999999999997
47467799996	1	1	0.24600000000000002
47470254777	1	1	0.109
47470265102	1	1	0.22899999999999998
47474978571	1	1	0.447
47272765523	1	1	0.00339098
47273031673	1	1	0.156723
47273554270	1	1	0.126897
47275712939	1	1	0.053943399999999996
47275896398	1	1	0.0286029
47276167851	1	1	0.00421685
47278140603	1	1	0.42058599999999996
47278372374	1	1	0.5197390000000001
47281017323	1	1	0.06118430000000001
47281615983	1	1	0.47271499999999994
47281652092	1	1	0.5
47285751669	1	1	0.5
47286253445	1	1	0.213583
47286913284	1	1	0.5800810000000001
47289843926	1	1	0.043738400000000004
47290883643	1	1	0.8375879999999999
47291106052	1	1	0.15901700000000002
47292056347	1	1	0.108946
47292257873	1	1	0.5
47292602759	1	1	0.00256046
47292822764	1	1	0.00503641
47292979033	1	1	0.00737299
47294332075	1	1	0.5
47294973839	1	1	0.09236280000000001
47297137203	1	1	0.5
47297267436	1	1	0.5
47297316891	1	1	0.577887
47301111078	1	1	0.072688
47301710832	1	1	0.5
47302122576	1	1	0.015566499999999999
47302860137	1	1	0.29330300000000004
47304946113	1	1	0.06660930000000001
47306669111	1	1	0.09303310000000001
47307794556	1	1	0.1
47312255914	1	1	0.9484469999999999
47312352502	1	1	0.731733
47313086291	1	1	0.232156
47313285145	1	1	0.5026609999999999
47313442247	1	1	0.855563
47313475489	1	1	0.38719699999999996
47313669418	1	1	0.032317700000000005
47314663639	1	1	0.32101199999999996
47314998060	1	1	0.0231743
47315249158	1	1	0.020313400000000002
47316067986	1	1	0.32101199999999996
47317623326	1	1	0.5
47317759754	1	1	0.335529
47223590832	1	1	0.5
47224235518	1	1	0.652836
47224978057	1	1	0.33964099999999997
47226411927	1	1	0.5
47227209838	1	1	0.0951193
47227291548	1	1	0.339649
47227597884	1	1	0.016580200000000003
47230132048	1	1	0.532044
47231481659	1	1	0.318826
47232957871	1	1	0.0281589
47233541179	1	1	0.45977299999999993
47235972229	1	1	0.5
47236231054	1	1	0.5
47236814529	1	1	0.3722
47237431137	1	1	0.9813719999999999
47237974164	1	1	0.170284
47238051888	1	1	0.5
47240075108	1	1	0.5
47241661005	1	1	0.5
47241696475	1	1	0.045672000000000004
47241698111	1	1	0.0408577
47242471963	1	1	0.00568783
47242513694	1	1	0.5
47243651907	1	1	0.0524813
47244248128	1	1	0.07925239999999999
47244534282	1	1	0.510894
47244546076	1	1	0.991965
47244588637	1	1	0.0156854
47245190610	1	1	0.41135
47246644685	1	1	0.5
47247790643	1	1	0.00719634
47248260822	1	1	0.1
47248333911	1	1	0.0646956
47248334821	1	1	0.583282
47248982589	1	1	0.183832
47250309685	1	1	0.018389
47250381274	1	1	0.5
47251615223	1	1	0.454618
47253889039	1	1	0.688472
47254354936	1	1	0.174071
47255455956	1	1	0.8592489999999999
47255503169	1	1	0.12284500000000001
47256997120	1	1	0.5
47257269965	1	1	0.200982
47257470481	1	1	0.5
47259744553	1	1	0.38660700000000003
47259780077	1	1	0.5
47261321652	1	1	0.198246
47264213963	1	1	0.5
47264424924	1	1	0.1
47265395755	1	1	0.175699
47265608438	1	1	0.045993599999999996
47266649737	1	1	0.00515439
47266757495	1	1	0.0216129
47266999085	1	1	0.1
47268181214	1	1	0.0746406
47268655227	1	1	0.0125482
47271151562	1	1	0.1
47175222556	1	1	0.041677
47175522800	1	1	0.183625
47176248817	1	1	0.18251099999999998
47176629773	1	1	0.232156
47176637087	1	1	0.5
47176734520	1	1	0.295477
47176942971	1	1	0.5
47177741873	1	1	0.5
47178184295	1	1	0.010814299999999999
47178296023	1	1	0.0165255
47178455039	1	1	0.21995100000000004
47178605156	1	1	0.5
47178606917	1	1	0.0165255
47178773926	1	1	0.0165255
47178841109	1	1	0.054323300000000005
47178960436	1	1	0.20191800000000001
47179068785	1	1	0.233391
47179069014	1	1	0.103414
47179132627	1	1	0.130968
47179206653	1	1	0.5
47179220107	1	1	0.305816
47179279853	1	1	0.291354
47179693366	1	1	0.165607
47179732451	1	1	0.281486
47179750638	1	1	0.181233
47180085103	1	1	0.0777629
47180922022	1	1	0.150126
47181066546	1	1	0.5
47181593884	1	1	0.103414
47181701468	1	1	8.25107e-08
47181771205	1	1	0.124796
47182655921	1	1	0.5
47182658018	1	1	0.5
47182898798	1	1	0.09250180000000001
47182907115	1	1	0.104376
47183440614	1	1	0.223627
47183567437	1	1	0.386999
47183778372	1	1	0.00899611
47183807291	1	1	0.103414
47183934216	1	1	0.5
47184012708	1	1	0.5
47184433937	1	1	0.307354
47184458190	1	1	0.0802365
47184866255	1	1	0.5
47185071065	1	1	0.08382150000000001
47185174418	1	1	0.5
47185639136	1	1	0.8068529999999999
47186094264	1	1	0.5
47186220587	1	1	0.114133
47186611991	1	1	0.5
47187132138	1	1	0.5
47187259912	1	1	0.197353
47187987908	1	1	0.103414
47187991768	1	1	0.682338
47188346843	1	1	0.322648
47189057911	1	1	0.165607
47189157674	1	1	0.165607
47189179530	1	1	0.071357
47189866720	1	1	0.00110661
47189995395	1	1	0.14085899999999998
47190581421	1	1	0.155962
47191035086	1	1	0.16960899999999998
47191615042	1	1	0.5
47191630895	1	1	0.997026
47191896689	1	1	0.5
47192004498	1	1	0.123696
47192158403	1	1	0.0964286
47192281015	1	1	0.5
47193087845	1	1	0.307354
47193342449	1	1	0.0984466
47193746582	1	1	0.5824199999999999
47194022418	1	1	0.21527399999999997
47194209023	1	1	0.5
47194631055	1	1	0.0578857
47195255330	1	1	0.5
47195371139	1	1	0.166466
47195528995	1	1	0.1864
47195569328	1	1	0.261256
47195833133	1	1	0.00180815
47196077781	1	1	0.0138317
47197096831	1	1	0.279883
47197693992	1	1	0.5
47197705098	1	1	0.08670139999999998
47197843660	1	1	0.172657
47197965720	1	1	0.110667
47197988931	1	1	0.0428284
47198149530	1	1	0.00013347
47198286930	1	1	0.44396499999999994
47198940523	1	1	0.0254618
47198972741	1	1	0.0531297
47199027718	1	1	0.188146
47199677740	1	1	0.5
47199849768	1	1	0.144216
47200176994	1	1	0.320871
47200308025	1	1	0.013968799999999998
47200364917	1	1	0.0243194
47200759018	1	1	0.0253821
47201149371	1	1	0.00429477
47201246717	1	1	0.0029443
47201509732	1	1	0.08247360000000001
47201698042	1	1	0.206826
47201935394	1	1	0.107726
47202147956	1	1	0.06375850000000001
47202841470	1	1	0.033081900000000004
47202936441	1	1	0.5
47202996933	1	1	0.5
47203899808	1	1	0.0868072
47204016179	1	1	0.528921
47204597728	1	1	0.207749
47204986132	1	1	0.461668
47205726967	1	1	0.852022
47206131110	1	1	0.24365100000000003
47207159646	1	1	0.5
47207527347	1	1	0.350879
47208321004	1	1	0.00185069
47210165531	1	1	0.5
47210999959	1	1	0.5
47211834164	1	1	0.07449739999999999
47211923786	1	1	0.17536400000000002
47213698535	1	1	0.101602
47214028412	1	1	0.105871
47214682799	1	1	0.990287
47215081244	1	1	0.490671
47215326755	1	1	0.0046447
47216820052	1	1	0.61064
47217947415	1	1	0.499054
47218090138	1	1	0.5
47220723914	1	1	0.5
47221817397	1	1	0.232156
47222657801	1	1	0.419343
47176031229	1	1	0.800446
47178269852	1	1	0.6145470000000001
47179107501	1	1	0.207587
47180825551	1	1	0.172692
47183544189	1	1	0.07643839999999999
47186311367	1	1	0.09428289999999999
47186778143	1	1	0.5
47187420264	1	1	0.04962709999999999
47188462498	1	1	0.5
47188655377	1	1	0.0759311
47189179924	1	1	0.5
47189369746	1	1	0.5
47190258077	1	1	0.5
47193333380	1	1	0.324533
47193473369	1	1	0.15168900000000002
47193985484	1	1	0.0009465869999999999
47194875579	1	1	0.21576599999999999
47195067739	1	1	0.41408900000000004
47195106093	1	1	0.126171
47195239974	1	1	0.36826
47195490437	1	1	0.401319
47195842309	1	1	0.288054
47196075955	1	1	0.0882053
47196169956	1	1	0.182375
47196981600	1	1	0.057794500000000006
