instance	true	assigned	probability
47178841109	1	1	-0.58
47178960436	1	1	-0.6
47179068785	1	1	-0.58
47179069014	1	1	-0.58
47179132627	1	1	-0.58
47179206653	1	1	-0.58
47179220107	1	1	-0.58
47179279853	1	1	-0.58
47179693366	1	1	-0.58
47179732451	1	1	-0.58
47179750638	1	1	-0.58
47180085103	1	1	-0.58
47180922022	1	1	-0.58
47181066546	1	1	-0.48
47181593884	1	1	-0.58
47181701468	1	1	-0.58
47181771205	1	1	-0.58
47182655921	1	1	-0.48
47182658018	1	1	-0.58
47182898798	1	1	-0.58
47182907115	1	1	-0.58
47183440614	1	1	-0.58
47183567437	1	1	-0.58
47183778372	1	1	-0.58
47183807291	1	1	-0.58
47183934216	1	1	-0.58
47184012708	1	1	-0.58
47184433937	1	1	-0.58
47184458190	1	1	-0.58
47184866255	1	1	-0.58
47185071065	1	1	-0.58
47185174418	1	1	-0.58
47185639136	1	1	-0.6
47186094264	1	1	-0.58
47186220587	1	1	-0.56
47186611991	1	1	-0.58
47187132138	1	1	-0.6
47187259912	1	1	-0.58
47187987908	1	1	-0.58
47187991768	1	1	-0.58
47188346843	1	1	-0.58
47189057911	1	1	-0.58
47189157674	1	1	-0.58
47189179530	1	1	-0.58
47189866720	1	1	-0.58
47189995395	1	1	-0.58
47190581421	1	1	-0.58
47191035086	1	1	-0.6
47191615042	1	1	-0.58
47191630895	1	1	-0.58
47191896689	1	1	-0.58
47192004498	1	1	-0.6
47192158403	1	1	-0.58
47192281015	1	1	-0.58
47193087845	1	1	-0.58
47193342449	1	1	-0.58
47193746582	1	1	-0.58
47194022418	1	1	-0.58
47194209023	1	1	-0.58
47194631055	1	1	-0.58
47195255330	1	1	-0.6
47195371139	1	1	-0.6
47195528995	1	1	-0.58
47195569328	1	1	-0.58
47195833133	1	1	-0.58
47196077781	1	1	-0.58
47197096831	1	1	-0.58
47197693992	1	1	-0.58
47197705098	1	1	-0.58
47197843660	1	1	-0.58
47197965720	1	1	-0.58
47197988931	1	1	-0.58
47198149530	1	1	-0.58
47198286930	1	1	-0.58
47198940523	1	1	-0.58
47198972741	1	1	-0.58
47199027718	1	1	-0.58
47199677740	1	1	-0.58
47199849768	1	1	-0.58
47200176994	1	1	-0.58
47200308025	1	1	-0.58
47200364917	1	1	-0.58
47200759018	1	1	-0.58
47201149371	1	1	-0.58
47201246717	1	1	-0.58
47201509732	1	1	-0.58
47201698042	1	1	-0.58
47201935394	1	1	-0.58
47202147956	1	1	-0.58
47202841470	1	1	-0.58
47202936441	1	1	-0.58
47202996933	1	1	-0.58
47203899808	1	1	-0.6
47204016179	1	1	-0.58
47204597728	1	1	-0.58
47204986132	1	1	-0.58
47205726967	1	1	-0.58
47206131110	1	1	-0.58
47207159646	1	1	-0.58
47207527347	1	1	-0.58
47208321004	1	1	-0.58
47210165531	1	1	-0.58
47210999959	1	1	-0.58
47211834164	1	1	-0.58
47211923786	1	1	-0.58
47213698535	1	1	-0.58
47214028412	1	1	-0.58
47214682799	1	1	-0.58
47215081244	1	1	-0.58
47215326755	1	1	-0.58
47216820052	1	1	-0.54
47217947415	1	1	-0.58
47218090138	1	1	-0.58
47220723914	1	1	-0.6
47221817397	1	1	-0.48
47222657801	1	1	-0.38
47176031229	1	1	-0.58
47178269852	1	1	-0.58
47179107501	1	1	-0.6
47180825551	1	1	-0.6
47183544189	1	1	-0.58
47186311367	1	1	-0.58
47186778143	1	1	-0.58
47187420264	1	1	-0.58
47188462498	1	1	-0.58
47188655377	1	1	-0.58
47189179924	1	1	-0.58
47189369746	1	1	-0.58
47190258077	1	1	-0.58
47193333380	1	1	-0.58
47193473369	1	1	-0.58
47193985484	1	1	-0.58
47194875579	1	1	-0.58
47195067739	1	1	-0.58
47195106093	1	1	-0.58
47195239974	1	1	-0.52
47195490437	1	1	-0.58
47195842309	1	1	-0.58
47196075955	1	1	-0.58
47196169956	1	1	-0.58
47196981600	1	1	-0.6
47197737957	1	1	-0.58
47198495514	1	1	-0.58
47198514006	1	1	-0.58
47199375458	1	1	-0.58
47199623833	1	1	-0.58
47200723466	1	1	-0.58
47200731981	1	1	-0.58
47201285985	1	1	-0.58
47201536034	1	1	-0.58
47205460255	1	1	-0.58
47206011487	1	1	-0.58
47206619230	1	1	-0.58
47209764368	1	1	-0.58
47210054763	1	1	-0.58
47210763134	1	1	-0.58
47213795138	1	1	-0.58
47213981461	1	1	-0.6
47215106161	1	1	-0.58
47215758117	1	1	-0.58
47216815352	1	1	-0.58
47216851863	1	1	-0.58
47217002890	1	1	-0.58
47217292442	1	1	-0.6
47217300437	1	1	-0.58
47217304761	1	1	-0.58
47217442434	1	1	-0.58
47217649999	1	1	-0.58
47218254331	1	1	-0.62
47218338883	1	1	-0.58
47218340947	1	1	-0.6
47221174788	1	1	-0.58
47129578336	1	1	-0.58
47129989641	1	1	-0.6
47130588021	1	1	-0.58
47131380060	1	1	-0.58
47131787411	1	1	-0.58
47133929096	1	1	-0.58
47135471918	1	1	-0.58
47136503529	1	1	-0.56
47137562353	1	1	-0.58
47138501152	1	1	-0.58
47138719842	1	1	-0.6
47139621927	1	1	-0.48
47142290396	1	1	-0.6
47142628612	1	1	-0.58
47145083103	1	1	-0.48
47145148837	1	1	-0.6
47147980919	1	1	-0.58
47148349459	1	1	-0.58
47148529732	1	1	-0.58
47148653734	1	1	-0.58
47150217330	1	1	-0.58
47151035039	1	1	-0.58
47151233547	1	1	-0.58
47151473986	1	1	-0.58
47151589271	1	1	-0.58
47152580196	1	1	-0.56
47152603163	1	1	-0.58
47152754422	1	1	-0.58
47152975393	1	1	-0.56
47153167513	1	1	-0.58
47153493442	1	1	-0.58
47153592122	1	1	-0.58
47153672582	1	1	-0.58
47154303873	1	1	-0.58
47154544917	1	1	-0.58
47154880511	1	1	-0.58
47154887329	1	1	-0.6
47155354712	1	1	-0.58
47160438514	1	1	-0.58
47161037674	1	1	-0.58
47166751216	1	1	-0.58
47166773302	1	1	-0.58
47167556248	1	1	-0.58
47172741837	1	1	-0.58
47174739393	1	1	-0.58
47073311805	1	1	-0.58
47073312344	1	1	-0.58
47075775336	1	1	-0.58
47075812903	1	1	-0.58
47076283073	1	1	-0.58
47076286207	1	1	-0.58
47076376918	1	1	-0.58
47080722504	1	1	-0.58
47081623855	1	1	-0.58
47081999612	1	1	-0.58
47084402176	1	1	-0.58
47086053610	1	1	-0.6
47090502094	1	1	-0.58
47091191572	1	1	-0.58
47093912600	1	1	-0.58
47095942761	1	1	-0.58
47101291867	1	1	-0.58
47101505973	1	1	-0.58
47101812903	1	1	-0.58
47101905318	1	1	-0.58
47102633593	1	1	-0.58
47103718181	1	1	-0.58
47104041522	1	1	-0.58
47104565120	1	1	-0.58
47106056944	1	1	-0.58
47106485295	1	1	-0.58
47106681336	1	1	-0.58
47107776078	1	1	-0.58
47108298210	1	1	-0.58
47108342803	1	1	-0.58
47108343126	1	1	-0.58
47108344082	1	1	-0.58
47108345979	1	1	-0.58
47108406517	1	1	-0.58
47108409296	1	1	-0.58
47108452056	1	1	-0.58
47108452361	1	1	-0.58
47108457499	1	1	-0.58
47108477431	1	1	-0.58
47108522769	1	1	-0.58
47108523694	1	1	-0.58
47108580029	1	1	-0.58
47108593749	1	1	-0.58
47108600006	1	1	-0.58
47108618576	1	1	-0.58
47108621047	1	1	-0.58
47108629596	1	1	-0.58
47108656169	1	1	-0.58
47108680780	1	1	-0.58
47108682849	1	1	-0.58
47108701503	1	1	-0.58
47108712734	1	1	-0.58
47108731336	1	1	-0.58
47108733244	1	1	-0.58
47108739208	1	1	-0.58
47108739732	1	1	-0.58
47108754623	1	1	-0.58
47108754706	1	1	-0.58
47108788413	1	1	-0.58
47108795900	1	1	-0.58
47108840512	1	1	-0.58
47108889510	1	1	-0.58
47108894463	1	1	-0.58
47108952461	1	1	-0.58
47108971946	1	1	-0.58
47108992772	1	1	-0.58
47109001599	1	1	-0.58
47109013877	1	1	-0.58
47109015257	1	1	-0.58
47109038027	1	1	-0.58
47109040652	1	1	-0.58
47109044841	1	1	-0.58
47109091250	1	1	-0.58
47109109007	1	1	-0.58
47109117880	1	1	-0.58
47109132183	1	1	-0.58
47109143366	1	1	-0.58
47109211397	1	1	-0.58
47109228261	1	1	-0.58
47109311867	1	1	-0.58
47109333774	1	1	-0.58
47109387846	1	1	-0.58
47109471168	1	1	-0.58
47109477395	1	1	-0.58
47109514500	1	1	-0.58
47109555653	1	1	-0.58
47109712053	1	1	-0.58
47109712954	1	1	-0.58
47109853685	1	1	-0.58
47109859676	1	1	-0.58
47110031287	1	1	-0.58
47110236035	1	1	-0.58
47110506011	1	1	-0.58
47110690044	1	1	-0.58
47110743067	1	1	-0.58
47110855071	1	1	-0.58
47111116302	1	1	-0.58
47111182443	1	1	-0.58
47111217262	1	1	-0.58
47111226383	1	1	-0.58
47111236128	1	1	-0.58
47111249329	1	1	-0.58
47111331115	1	1	-0.58
47111356475	1	1	-0.58
47111442218	1	1	-0.58
47111516053	1	1	-0.58
47111579207	1	1	-0.58
47111813773	1	1	-0.58
47111903529	1	1	-0.58
47111938435	1	1	-0.58
47111958925	1	1	-0.58
47111960983	1	1	-0.58
47111984300	1	1	-0.58
47112080929	1	1	-0.58
47112124543	1	1	-0.58
47112179866	1	1	-0.58
47112212056	1	1	-0.58
47112229785	1	1	-0.58
47112276266	1	1	-0.58
